packet_id,packet_type,source_gui,dest_gui,path,hop_count,started_at,delivered_at,delay
21560,SENSOR_DATA,22,1,22->11->1,2,2568.607701,2568.607863,0.000162
21576,SENSOR_DATA,13,1,13->23->22->11->1,4,2570.598362,2570.598671,0.000309
21591,SENSOR_DATA,10,1,10->0->1,2,2572.081586,2572.081765,0.000179
21597,SENSOR_DATA,33,1,33->32->22->11->1,4,2572.598748,2572.599067,0.000319
21600,SENSOR_DATA,23,1,23->22->11->1,3,2572.787308,2572.787542,0.000234
21621,SENSOR_DATA,0,1,0->1,1,2574.741474,2574.741564,0.000090
21638,SENSOR_DATA,32,1,32->22->11->1,3,2576.965071,2576.965310,0.000239
21640,SENSOR_DATA,11,1,11->1,1,2576.999538,2576.999617,0.000079
21649,SENSOR_DATA,2,1,2->1,1,2577.907825,2577.907891,0.000066
21648,SENSOR_DATA,12,1,12->11->1,2,2577.907773,2577.907899,0.000125
21657,SENSOR_DATA,3,1,3->2->1,2,2578.527649,2578.527781,0.000132
21658,SENSOR_DATA,22,1,22->11->1,2,2578.607701,2578.607863,0.000162
21674,SENSOR_DATA,13,1,13->23->22->11->1,4,2580.598362,2580.598671,0.000309
21689,SENSOR_DATA,10,1,10->0->1,2,2582.081586,2582.081765,0.000179
21695,SENSOR_DATA,33,1,33->32->22->11->1,4,2582.598748,2582.599067,0.000319
21698,SENSOR_DATA,23,1,23->22->11->1,3,2582.787308,2582.787542,0.000234
21719,SENSOR_DATA,0,1,0->1,1,2584.741474,2584.741564,0.000090
21736,SENSOR_DATA,32,1,32->22->11->1,3,2586.965071,2586.965310,0.000239
21738,SENSOR_DATA,11,1,11->1,1,2586.999538,2586.999617,0.000079
21747,SENSOR_DATA,2,1,2->1,1,2587.907825,2587.907891,0.000066
21746,SENSOR_DATA,12,1,12->11->1,2,2587.907773,2587.907899,0.000125
21755,SENSOR_DATA,3,1,3->2->1,2,2588.527649,2588.527781,0.000132
21756,SENSOR_DATA,22,1,22->11->1,2,2588.607701,2588.607863,0.000162
21772,SENSOR_DATA,13,1,13->23->22->11->1,4,2590.598362,2590.598671,0.000309
21787,SENSOR_DATA,10,1,10->0->1,2,2592.081586,2592.081765,0.000179
21793,SENSOR_DATA,33,1,33->32->22->11->1,4,2592.598748,2592.599067,0.000319
21796,SENSOR_DATA,23,1,23->22->11->1,3,2592.787308,2592.787542,0.000234
21817,SENSOR_DATA,0,1,0->1,1,2594.741474,2594.741564,0.000090
21834,SENSOR_DATA,32,1,32->22->11->1,3,2596.965071,2596.965310,0.000239
21836,SENSOR_DATA,11,1,11->1,1,2596.999538,2596.999617,0.000079
21845,SENSOR_DATA,2,1,2->1,1,2597.907825,2597.907891,0.000066
21844,SENSOR_DATA,12,1,12->11->1,2,2597.907773,2597.907899,0.000125
21853,SENSOR_DATA,3,1,3->2->1,2,2598.527649,2598.527781,0.000132
21854,SENSOR_DATA,22,1,22->11->1,2,2598.607701,2598.607863,0.000162
21870,SENSOR_DATA,13,1,13->23->22->11->1,4,2600.598362,2600.598671,0.000309
21885,SENSOR_DATA,10,1,10->0->1,2,2602.081586,2602.081765,0.000179
21891,SENSOR_DATA,33,1,33->32->22->11->1,4,2602.598748,2602.599067,0.000319
21894,SENSOR_DATA,23,1,23->22->11->1,3,2602.787308,2602.787542,0.000234
21915,SENSOR_DATA,0,1,0->1,1,2604.741474,2604.741564,0.000090
