node_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,89.405714,139.057137,193.147043,248.706816,318.746797,394.677226,490.856918,569.232570,642.097601,695.172427,0.000000,114.835165,159.010302,260.887151,353.379479,408.421937,503.860495,559.827810,635.270914,714.901554,104.826697,122.846568,162.854871,234.138680,326.439420,426.524013,511.918855,559.262763,636.324292,704.586948,150.801934,165.430941,199.133979,266.317188,402.875047,427.118395,538.810406,585.117841,630.044711,734.935152,188.431951,234.769134,316.378945,331.086683,382.941809,465.521778,555.761299,646.601100,677.611723,733.631673,283.800171,347.211884,379.248154,423.958596,466.056309,496.668503,588.857705,686.691991,690.030997,762.989495,380.834008,383.839607,403.891774,481.492204,488.147899,552.575636,629.755187,718.169589,776.739256,831.856442,432.086878,467.263242,487.290384,519.012998,559.960858,596.299695,706.569743,759.621446,776.096984,874.387998,529.146008,567.504179,570.874787,620.765531,645.109324,672.768727,768.604380,804.024391,868.244764,923.080162,603.021646,607.625837,640.123841,682.773627,699.240201,728.898795,791.704469,828.882700,872.640250,983.048090
11,124.118192,79.041482,95.693825,138.405342,204.538139,280.978134,376.730108,456.239876,528.975672,581.280247,114.835165,0.000000,46.013823,149.647008,245.028368,300.916012,394.629511,449.521552,524.237504,602.943908,131.032426,113.615394,83.313383,142.077184,236.984991,328.751938,407.259261,454.098215,528.510941,596.444907,189.238977,154.822507,154.225135,192.897477,318.917562,338.558428,447.539500,487.848171,529.930361,635.742685,223.307016,243.906321,283.003957,283.408926,310.952961,388.615100,467.708084,556.183803,589.530709,637.807563,326.078797,345.384549,361.003106,385.476411,401.777766,429.198739,511.131739,607.250898,604.796406,673.892179,410.258402,395.570104,396.616512,453.893735,439.509234,498.031777,560.938985,643.659028,694.416398,749.825854,456.813163,474.301229,485.168705,495.576441,522.615790,548.382045,647.107932,696.821738,703.533400,800.476066,561.208876,577.887246,567.668124,604.148584,608.570208,631.422137,714.652255,743.700321,804.812365,854.930877,622.507300,616.783909,636.559195,673.542674,674.807119,693.788825,749.940350,774.846308,813.729837,921.564423
12,167.076132,103.896790,87.950450,107.994851,159.758197,235.739202,331.847070,410.688653,483.486499,536.211436,159.010302,46.013823,0.000000,103.633336,199.165596,255.102949,348.626829,403.517806,478.288092,557.134210,153.556323,126.771958,65.284103,104.623294,197.389073,285.159960,361.779677,408.492086,482.565253,550.468914,208.084693,159.015720,142.241197,162.432135,280.225157,297.953572,405.382668,443.878673,485.213461,591.110986,238.127382,247.469497,266.662750,260.824203,277.176999,351.793914,426.469149,513.930020,547.873301,593.951848,338.765760,339.973604,348.413047,363.986567,369.642069,395.510610,473.098114,568.223564,563.952668,631.757597,415.662820,394.252657,387.609368,435.567749,413.014311,468.560879,525.731644,606.118338,654.229708,709.606367,459.427454,469.529364,476.551651,478.297529,499.528339,520.969160,614.762231,663.068077,666.433487,762.673270,565.271718,573.046547,557.525216,588.333520,584.993462,605.847985,683.955390,710.626222,770.462760,818.870166,620.853049,611.048603,625.584898,660.030353,655.376199,670.159172,723.518143,743.867337,780.904850,887.565909
13,267.512971,191.040008,141.368976,101.179530,65.298726,135.662564,232.279991,308.537767,381.432990,435.349307,260.887151,149.647008,103.633336,0.000000,96.461210,152.420367,245.045214,299.909683,374.835826,454.074159,231.522602,196.912509,117.379327,75.426039,125.714555,191.348296,260.110969,306.284150,379.169596,446.966449,275.293492,209.420006,166.821083,132.649784,204.758692,214.872891,314.595902,346.924243,385.719556,491.622032,296.232167,284.338130,257.974072,236.654585,218.455690,279.297400,338.319934,421.818058,457.290455,496.731403,386.614453,350.648695,342.054155,334.561641,310.622903,330.972292,393.951197,485.039106,475.615960,539.344172,445.643103,410.914825,387.408174,410.822941,368.020279,413.686505,453.825841,526.734926,567.159126,622.154180,481.941560,475.522039,473.546021,454.604195,460.618018,470.286275,549.363427,593.365378,587.732757,681.451562,587.967038,575.940193,548.623793,565.266478,542.838726,558.231770,622.045875,642.251703,698.274702,741.921624,629.864970,611.078051,613.236664,641.069456,622.252268,626.423396,672.077149,680.618819,712.591779,815.561937
14,363.973915,286.103605,231.373325,177.211493,74.021592,72.655964,156.853609,222.291293,294.506627,351.039839,353.379479,245.028368,199.165596,96.461210,0.000000,55.998404,150.484684,206.801907,282.696904,363.386785,309.236245,272.865966,197.944513,131.871227,98.369382,106.012124,163.757766,209.822999,283.583756,351.658176,343.415078,272.441398,220.576066,154.238674,146.975591,144.264983,228.078998,253.593753,290.278100,396.008587,356.659181,329.939547,268.373684,235.344174,181.288769,217.026387,254.207954,332.302373,368.877783,402.538029,434.184600,369.113648,345.695060,316.259458,262.116594,274.631370,318.349181,403.459005,389.143343,448.751666,475.569095,430.868837,393.515254,392.011261,330.990818,363.704318,384.391019,448.331262,481.070680,535.371354,503.839748,482.770769,472.540238,434.622472,425.199216,422.477522,484.492033,523.505553,509.252807,599.829866,606.634226,576.806692,539.274914,541.865160,501.381903,510.937690,559.362496,573.021369,624.825051,663.744155,634.963596,608.313050,598.776298,619.651717,587.654888,581.420299,618.770462,615.823561,642.635211,741.362599
15,419.913868,341.293033,284.917703,227.565755,120.214971,76.359526,124.479762,175.444000,245.823569,303.833725,408.421937,300.916012,255.102949,152.420367,55.998404,0.000000,96.379125,153.615388,229.803944,311.229453,359.664243,323.148832,250.758864,181.930688,123.149518,73.489417,108.242473,153.904448,227.998755,296.200531,389.930964,318.288035,264.730048,191.328259,138.062413,123.532306,184.249507,201.830054,235.871651,341.243895,399.926559,367.483164,291.694278,254.513308,183.643286,196.696244,212.147594,283.804803,321.107358,349.223337,470.699561,392.845905,362.327997,321.417762,249.824637,255.825646,282.497860,361.275931,342.935643,398.612227,502.969856,453.955387,410.108661,394.342822,323.668223,346.437418,352.222623,408.277209,434.594186,488.087651,526.708011,498.128796,483.480805,435.204901,416.281536,405.338487,454.290433,489.250534,468.637336,556.306475,626.534896,587.233566,544.327930,538.465191,487.119883,492.658118,529.936665,538.813387,587.228927,622.517490,647.123023,616.297565,600.040683,616.499200,576.682236,563.796415,595.258617,584.449715,607.442756,702.692271
16,510.963286,428.986883,368.744467,306.539982,200.537130,129.843150,89.887306,90.158216,154.042001,213.204816,503.860495,394.629511,348.626829,245.045214,150.484684,96.379125,0.000000,57.482616,133.594022,215.259815,455.753723,419.236574,347.110994,278.185733,210.873130,120.783677,50.875481,74.390523,134.643298,202.010020,484.412231,412.684559,358.596737,282.508883,194.605563,167.780925,163.630493,148.522529,164.989865,264.202395,492.477320,456.179700,369.421157,329.621180,246.354251,226.314732,192.124876,236.127542,273.704493,279.543160,557.697299,468.538033,430.998525,377.719158,286.255689,281.046531,270.815577,328.470531,299.423120,340.176484,580.929460,527.919002,477.545047,444.050390,362.475979,367.839144,344.202502,379.060089,386.932318,436.727296,599.448030,562.377616,542.407789,481.173561,448.496424,424.198705,446.126801,471.189253,436.030284,514.188875,694.712516,643.759235,594.151644,575.962012,508.219206,506.524676,521.228296,519.597927,559.270136,585.199988,705.210706,669.090658,643.444867,652.939207,601.236080,577.079892,596.929602,570.428876,584.632329,670.458421
17,563.965703,480.334294,418.444017,354.595769,251.292653,176.580975,106.275594,52.379712,100.007816,159.206218,559.827810,449.521552,403.517806,299.909683,206.801907,153.615388,57.482616,0.000000,76.189060,157.778640,513.177236,476.659180,404.130500,335.530932,267.431265,172.695849,81.672989,66.125533,86.398474,150.042534,541.799043,470.073038,415.924664,339.438406,244.028752,215.014200,183.094359,147.260048,144.798070,231.062006,549.476899,512.179855,422.269904,381.925563,295.981471,264.719285,208.568006,229.909815,265.420722,252.743100,613.013328,520.106469,480.149459,422.570137,324.951108,315.015240,286.265047,328.032446,292.757029,320.721813,632.928241,578.555479,525.874247,485.242829,400.175719,397.237366,358.587975,379.293361,374.282880,420.266467,649.312273,608.865717,586.723517,520.251137,481.551980,451.043228,457.675593,476.286600,432.591511,502.915910,742.320507,686.381079,633.985903,610.044364,534.807558,529.324656,531.091311,523.136578,556.720963,576.209110,748.252669,709.845500,679.871611,685.856984,628.522642,598.631465,611.787233,576.406229,585.013378,663.900939
18,636.980950,552.062141,488.946621,424.048832,323.648742,247.407568,163.283788,79.451467,49.663735,97.933896,635.270914,524.237504,478.288092,374.835826,282.696904,229.803944,133.594022,76.189060,0.000000,81.859433,589.343672,552.826040,480.243187,411.718915,342.080914,243.916419,147.355343,111.111458,54.123477,87.846042,617.479561,545.770724,491.510184,414.441296,311.810050,281.393479,225.687092,172.757653,146.203073,199.383348,624.439930,585.716829,492.120011,451.343165,363.237372,321.378122,245.753720,238.308439,268.209366,229.643887,685.508926,588.058692,545.401575,483.305634,380.370588,365.612815,317.339569,337.595956,295.959970,304.610524,701.088133,645.169812,589.913833,541.165893,453.126305,440.767244,385.451545,387.695355,365.579287,404.784193,714.747650,670.284861,645.614970,573.356130,527.955425,490.544238,478.342127,488.335191,434.539666,492.663957,804.648394,742.686690,687.142492,656.336179,572.733205,562.681836,548.206103,532.238493,557.238041,567.783350,804.818207,763.722483,728.545250,730.136624,666.271606,629.548927,634.106081,587.801925,588.965611,657.591118
19,713.399984,627.192814,562.987212,497.369502,400.412199,323.545151,233.057989,148.510319,79.983419,65.416227,714.901554,602.943908,557.134210,454.074159,363.386785,311.229453,215.259815,157.778640,81.859433,0.000000,670.884202,634.366930,561.230346,493.149079,423.818466,324.718387,227.390771,187.036680,109.574855,77.891388,699.336253,627.625417,573.369570,496.238241,390.800984,359.915549,292.557728,232.906412,193.362973,204.398696,706.203678,666.969223,571.584059,530.656742,441.685548,394.113898,308.305104,279.765197,302.425914,240.992462,766.210610,666.211922,621.940607,557.131406,451.535485,433.758929,372.608633,374.066658,328.741967,317.375284,779.186041,722.348930,665.509305,611.266676,521.795120,502.632206,435.215711,421.100473,382.957080,413.278357,790.992428,743.793947,717.364120,641.153108,590.970451,548.528802,520.505639,522.339864,460.186216,504.101272,878.481918,812.111349,754.336790,718.205490,628.406676,614.598927,585.796906,562.500520,578.481083,579.503849,874.241515,831.158443,791.934721,789.868520,720.898367,678.563986,675.289862,619.302880,613.109199,670.062102
