time,packet_type,source,current_node,next_hop,dest,hop_count,path_type
2236.467983763678,SENSOR_DATA,"[11,2]",30,"[11,1]","[0,254]",,MESH_3H
2236.468032548846,SENSOR_DATA,"[11,2]",21,"[0,3]","[0,254]",,MESH_2H
2236.468109827868,SENSOR_DATA,"[11,2]",11,"[0,254]","[0,254]",,DIRECT
2236.5050504567735,SENSOR_DATA,"[68,1]",78,"[68,254]","[0,254]",,TREE_PARENT
2236.9526936116727,SENSOR_DATA,"[53,1]",64,"[53,254]","[0,254]",,TREE_PARENT
2237.2065776949435,SENSOR_DATA,"[71,1]",80,"[52,3]","[0,254]",,TREE_PARENT
2237.206644224196,SENSOR_DATA,"[71,1]",70,"[52,254]","[0,254]",,TREE_PARENT
2237.266474648166,SENSOR_DATA,"[26,4]",47,"[26,254]","[0,254]",,TREE_PARENT
2237.29312593939,SENSOR_DATA,"[35,2]",45,"[35,1]","[0,254]",,TREE_PARENT
2237.2931975866604,SENSOR_DATA,"[35,2]",56,"[35,254]","[0,254]",,TREE_PARENT
2237.43934797986,SENSOR_DATA,"[35,1]",35,"[24,2]","[0,254]",,TREE_PARENT
2237.4394103854297,SENSOR_DATA,"[35,1]",34,"[3,3]","[0,254]",,TREE_PARENT
2237.439512721609,SENSOR_DATA,"[35,1]",23,"[3,1]","[0,254]",,MESH_3H
2237.4395842377153,SENSOR_DATA,"[35,1]",12,"[0,2]","[0,254]",,MESH_2H
2237.4396816680564,SENSOR_DATA,"[35,1]",2,"[0,254]","[0,254]",,DIRECT
2237.4670364031067,SENSOR_DATA,"[28,1]",28,"[16,1]","[0,254]",,TREE_PARENT
2237.467143928657,SENSOR_DATA,"[28,1]",27,"[16,254]","[0,254]",,TREE_PARENT
2237.5154389054096,SENSOR_DATA,"[35,1]",56,"[35,254]","[0,254]",,TREE_PARENT
2237.554896263236,SENSOR_DATA,"[86,2]",97,"[86,254]","[0,254]",,TREE_PARENT
2237.723072995133,SENSOR_DATA,"[23,2]",52,"[23,254]","[0,254]",,TREE_PARENT
2237.7561815619774,SENSOR_DATA,"[38,1]",38,"[26,3]","[0,254]",,TREE_PARENT
2237.75625567408,SENSOR_DATA,"[38,1]",37,"[26,254]","[0,254]",,TREE_PARENT
2237.940369788305,SENSOR_DATA,"[26,2]",55,"[26,254]","[0,254]",,TREE_PARENT
2238.004171207847,SENSOR_DATA,"[16,1]",26,"[24,2]","[0,254]",,TREE_PARENT
2238.004239156293,SENSOR_DATA,"[16,1]",15,"[24,254]","[0,254]",,TREE_PARENT
2238.1050721245856,SENSOR_DATA,"[52,1]",71,"[52,254]","[0,254]",,TREE_PARENT
2238.1528831334977,SENSOR_DATA,"[52,2]",61,"[52,254]","[0,254]",,TREE_PARENT
2238.3493844721634,SENSOR_DATA,"[79,1]",88,"[68,1]","[0,254]",,TREE_PARENT
2238.349473547217,SENSOR_DATA,"[79,1]",78,"[68,254]","[0,254]",,TREE_PARENT
2238.520844560644,SENSOR_DATA,"[71,2]",81,"[52,3]","[0,254]",,TREE_PARENT
2238.5209326111435,SENSOR_DATA,"[71,2]",70,"[52,254]","[0,254]",,TREE_PARENT
2238.591409970621,SENSOR_DATA,"[3,2]",22,"[0,3]","[0,254]",,MESH_2H
2238.5914821433194,SENSOR_DATA,"[3,2]",11,"[0,254]","[0,254]",,DIRECT
2239.041872285369,SENSOR_DATA,"[32,1]",51,"[32,254]","[0,254]",,TREE_PARENT
2239.287111009958,SENSOR_DATA,"[11,1]",20,"[0,3]","[0,254]",,MESH_2H
2239.287215704409,SENSOR_DATA,"[11,1]",11,"[0,254]","[0,254]",,DIRECT
2239.4419969932446,SENSOR_DATA,"[6,2]",17,"[6,254]","[0,254]",,TREE_PARENT
2239.4420486430945,SENSOR_DATA,"[28,2]",29,"[28,254]","[0,254]",,TREE_PARENT
2239.4528943151645,SENSOR_DATA,"[63,1]",82,"[63,254]","[0,254]",,TREE_PARENT
2239.4829348892736,SENSOR_DATA,"[53,1]",53,"[23,2]","[0,254]",,TREE_PARENT
2239.4830163217957,SENSOR_DATA,"[53,1]",52,"[23,254]","[0,254]",,TREE_PARENT
2239.526387609272,SENSOR_DATA,"[26,1]",46,"[26,254]","[0,254]",,TREE_PARENT
2239.786335505001,SENSOR_DATA,"[86,1]",86,"[65,1]","[0,254]",,TREE_PARENT
2239.786420332707,SENSOR_DATA,"[86,1]",85,"[65,254]","[0,254]",,TREE_PARENT
2239.889377337047,SENSOR_DATA,"[23,1]",31,"[11,1]","[0,254]",,MESH_3H
2239.889448375329,SENSOR_DATA,"[23,1]",21,"[0,3]","[0,254]",,MESH_2H
2239.8895256543506,SENSOR_DATA,"[23,1]",11,"[0,254]","[0,254]",,DIRECT
2240.032064910292,SENSOR_DATA,"[79,2]",99,"[79,254]","[0,254]",,TREE_PARENT
2240.143014125316,SENSOR_DATA,"[42,1]",50,"[42,254]","[0,254]",,TREE_PARENT
2240.1511280137943,SENSOR_DATA,"[48,1]",69,"[48,254]","[0,254]",,TREE_PARENT
2240.316218449472,SENSOR_DATA,"[3,1]",12,"[0,2]","[0,254]",,MESH_2H
2240.3163158798134,SENSOR_DATA,"[3,1]",2,"[0,254]","[0,254]",,DIRECT
2240.371781616698,SENSOR_DATA,"[55,1]",75,"[55,254]","[0,254]",,TREE_PARENT
2240.3756106443443,SENSOR_DATA,"[19,1]",8,"[28,3]","[0,254]",,TREE_PARENT
2240.3756855903193,SENSOR_DATA,"[19,1]",18,"[28,254]","[0,254]",,TREE_PARENT
2240.3785676129446,SENSOR_DATA,"[24,2]",15,"[24,254]","[0,254]",,TREE_PARENT
2240.3790153878685,SENSOR_DATA,"[24,3]",25,"[24,254]","[0,254]",,TREE_PARENT
2240.382360201642,SENSOR_DATA,"[35,1]",67,"[35,254]","[0,254]",,TREE_PARENT
2240.4801016711713,SENSOR_DATA,"[52,3]",70,"[52,254]","[0,254]",,TREE_PARENT
2240.7409454006006,SENSOR_DATA,"[53,2]",62,"[53,254]","[0,254]",,TREE_PARENT
2241.0452001413437,SENSOR_DATA,"[6,1]",6,"[24,4]","[0,254]",,TREE_PARENT
2241.045245644115,SENSOR_DATA,"[6,1]",5,"[24,254]","[0,254]",,TREE_PARENT
2241.1069265687747,SENSOR_DATA,"[71,1]",91,"[71,254]","[0,254]",,TREE_PARENT
2241.1478363641245,SENSOR_DATA,"[93,1]",93,"[71,2]","[0,254]",,TREE_PARENT
