clusterhead_1,clusterhead_2,distance
36,96,383.863334
36,97,405.349006
36,98,440.357736
36,99,444.219134
38,39,83.921213
38,40,566.755425
38,42,416.699282
38,43,322.470765
38,44,284.612181
38,45,189.447352
38,48,72.821310
38,49,77.169205
38,50,542.570345
38,53,341.627872
38,56,197.062338
38,57,130.440182
38,58,123.369950
38,59,156.667981
38,60,568.836624
38,61,500.694320
38,65,258.402357
38,66,238.943913
38,68,194.942704
38,69,187.469920
38,71,525.763220
38,72,489.056600
38,73,416.393595
38,74,352.719319
38,75,317.711493
38,77,236.800459
38,81,535.965672
38,82,498.650565
38,83,425.898196
38,86,356.498987
38,87,317.577420
38,88,350.762809
38,89,320.115416
38,90,655.728627
38,91,569.804046
38,93,499.937032
38,94,468.722681
38,95,417.781256
38,96,405.251620
38,97,406.559220
38,98,413.863094
38,99,391.681807
39,40,650.488499
39,42,500.168392
39,43,405.294625
39,44,366.867866
39,45,270.167043
39,48,126.354355
39,49,65.015187
39,50,624.864921
39,53,421.475913
39,56,266.656311
39,57,185.578624
39,58,160.983904
39,59,129.959868
39,60,649.573039
39,61,579.841046
39,65,323.521831
39,66,298.541725
39,68,202.213332
39,69,181.950168
39,71,601.929854
39,72,562.768416
39,73,484.414777
39,74,416.519716
39,75,376.554385
39,77,263.506019
39,81,608.469263
39,82,563.818147
39,83,490.279307
39,86,390.745542
39,87,347.129884
39,88,359.486179
39,89,316.185881
39,90,725.807649
39,91,637.975907
39,93,554.125128
39,94,520.013980
39,95,464.284360
39,96,437.172485
39,97,428.277028
39,98,420.051778
39,99,383.575193
40,42,151.441133
40,43,248.758318
40,44,288.931571
40,45,386.797508
40,48,544.499390
40,49,617.764676
40,50,81.291410
40,53,255.800238
40,56,423.962055
40,57,508.880897
40,58,549.506136
40,59,658.943054
40,60,126.984157
40,61,169.471656
40,65,406.699878
40,66,441.342493
40,68,609.499522
40,69,634.780080
40,71,217.527031
40,72,255.351620
40,73,328.551637
40,74,377.211405
40,75,417.661494
40,77,561.895909
40,81,271.346541
40,82,351.843783
40,83,359.081504
40,86,543.893166
40,87,558.667352
40,88,649.191016
40,89,679.975861
40,90,340.063309
40,91,331.894015
40,93,448.599152
40,94,463.745518
40,95,487.020034
40,96,565.899426
40,97,615.801535
40,98,686.694833
40,99,730.226469
42,43,97.455529
42,44,137.707010
42,45,235.370367
42,48,393.066683
42,49,466.356160
42,50,134.216214
42,53,115.980273
42,56,275.588859
42,57,358.562322
42,58,399.180041
42,59,508.327803
42,60,176.006439
42,61,142.239772
42,65,266.499183
42,66,299.603709
42,68,462.427058
42,69,486.414021
42,71,196.818525
42,72,203.364288
42,73,233.725951
42,74,259.178577
42,75,290.746968
42,77,420.020066
42,81,243.112006
42,82,289.627401
42,83,266.632478
42,86,420.892683
42,87,427.931421
42,88,517.355980
42,89,541.641520
42,90,353.327489
42,91,305.974904
42,93,372.259197
42,94,375.501438
42,95,382.071529
42,96,450.850569
42,97,496.247669
42,98,561.292940
42,99,597.076266
43,44,40.265548
43,45,138.129963
43,48,295.813479
