packet_type,source,dest,source_gui,dest_gui,created_at,delivered_at,base_delay,total_delay,tx_time,rx_time,processing_time,num_hops
SENSOR_DATA,"[12,3]","[0,254]",,1,1716.965071,1716.965310,0.000239,0.005263,0.002112,0.002112,0.000800,4
SENSOR_DATA,"[0,1]","[0,254]",,1,1716.999538,1716.999617,0.000079,0.004703,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[0,3]","[0,254]",,1,1717.907825,1717.907891,0.000066,0.004690,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[12,4]","[0,254]",,1,1717.907773,1717.907899,0.000125,0.004949,0.002112,0.002112,0.000600,3
SENSOR_DATA,"[3,1]","[0,254]",,1,1718.527649,1718.527781,0.000132,0.004956,0.002112,0.002112,0.000600,3
SENSOR_DATA,"[12,2]","[0,254]",,1,1718.607701,1718.607863,0.000162,0.004986,0.002112,0.002112,0.000600,3
SENSOR_DATA,"[24,1]","[0,254]",,1,1720.598362,1720.598671,0.000309,0.005533,0.002112,0.002112,0.001000,5
SENSOR_DATA,"[1,1]","[0,254]",,1,1722.081586,1722.081765,0.000179,0.005003,0.002112,0.002112,0.000600,3
SENSOR_DATA,"[33,1]","[0,254]",,1,1722.598748,1722.599067,0.000319,0.005543,0.002112,0.002112,0.001000,5
SENSOR_DATA,"[12,1]","[0,254]",,1,1722.787308,1722.787542,0.000234,0.005258,0.002112,0.002112,0.000800,4
SENSOR_DATA,"[0,2]","[0,254]",,1,1724.741474,1724.741564,0.000090,0.004714,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[12,3]","[0,254]",,1,1726.965071,1726.965310,0.000239,0.005263,0.002112,0.002112,0.000800,4
SENSOR_DATA,"[0,1]","[0,254]",,1,1726.999538,1726.999617,0.000079,0.004703,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[0,3]","[0,254]",,1,1727.907825,1727.907891,0.000066,0.004690,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[12,4]","[0,254]",,1,1727.907773,1727.907899,0.000125,0.004949,0.002112,0.002112,0.000600,3
SENSOR_DATA,"[3,1]","[0,254]",,1,1728.527649,1728.527781,0.000132,0.004956,0.002112,0.002112,0.000600,3
SENSOR_DATA,"[12,2]","[0,254]",,1,1728.607701,1728.607863,0.000162,0.004986,0.002112,0.002112,0.000600,3
SENSOR_DATA,"[24,1]","[0,254]",,1,1730.598362,1730.598671,0.000309,0.005533,0.002112,0.002112,0.001000,5
SENSOR_DATA,"[1,1]","[0,254]",,1,1732.081586,1732.081765,0.000179,0.005003,0.002112,0.002112,0.000600,3
SENSOR_DATA,"[33,1]","[0,254]",,1,1732.598748,1732.599067,0.000319,0.005543,0.002112,0.002112,0.001000,5
SENSOR_DATA,"[12,1]","[0,254]",,1,1732.787308,1732.787542,0.000234,0.005258,0.002112,0.002112,0.000800,4
SENSOR_DATA,"[0,2]","[0,254]",,1,1734.741474,1734.741564,0.000090,0.004714,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[12,3]","[0,254]",,1,1736.965071,1736.965310,0.000239,0.005263,0.002112,0.002112,0.000800,4
SENSOR_DATA,"[0,1]","[0,254]",,1,1736.999538,1736.999617,0.000079,0.004703,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[0,3]","[0,254]",,1,1737.907825,1737.907891,0.000066,0.004690,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[12,4]","[0,254]",,1,1737.907773,1737.907899,0.000125,0.004949,0.002112,0.002112,0.000600,3
SENSOR_DATA,"[3,1]","[0,254]",,1,1738.527649,1738.527781,0.000132,0.004956,0.002112,0.002112,0.000600,3
